source_file,source_sheet,source_row_1based,group,label,original_x,original_y,original_z,bgr_model_x,bgr_model_y,bgr_model_z
cda_knowledge_base/measurements/coordinates_geometry_layout/source_files/Coordinates_NMR_Taupe_characborehole.xlsx,Tabelle1,3,NMR,NMR_4R,2579355.803,1247475.051,512.407,-3.8227945120012627,5.82476776339998,0.46701300000000856
cda_knowledge_base/measurements/coordinates_geometry_layout/source_files/Coordinates_NMR_Taupe_characborehole.xlsx,Tabelle1,4,NMR,NMR_4Q,2579355.971,1247475.233,512.926,-3.5863086667975175,5.8984050162021315,0.986013000000014
cda_knowledge_base/measurements/coordinates_geometry_layout/source_files/Coordinates_NMR_Taupe_characborehole.xlsx,Tabelle1,5,NMR,NMR_4P,2579355.892,1247475.486,513.144,-3.528247232362048,6.157014509015019,1.204012999999975
cda_knowledge_base/measurements/coordinates_geometry_layout/source_files/Coordinates_NMR_Taupe_characborehole.xlsx,Tabelle1,6,NMR,NMR_O1,2579355.864,1247475.419,513.661,-3.5859921031225284,6.11298576955962,1.721012999999914
cda_knowledge_base/measurements/coordinates_geometry_layout/source_files/Coordinates_NMR_Taupe_characborehole.xlsx,Tabelle1,7,NMR,NMR_O2,2579355.995,1247475.218,513.63,-3.573021876976627,5.873415794074564,1.690012999999965
cda_knowledge_base/measurements/coordinates_geometry_layout/source_files/Coordinates_NMR_Taupe_characborehole.xlsx,Tabelle1,8,NMR,NMR_4N,2579355.722,1247475.357,513.945,-3.739969219433103,6.1302787629608755,2.0050130000000195
cda_knowledge_base/measurements/coordinates_geometry_layout/source_files/Coordinates_NMR_Taupe_characborehole.xlsx,Tabelle1,9,NMR,NMR_4D,2579354.343,1247474.364,512.257,-5.4307033744990285,5.959668050840337,0.3170129999999176
cda_knowledge_base/measurements/coordinates_geometry_layout/source_files/Coordinates_NMR_Taupe_characborehole.xlsx,Tabelle1,10,NMR,NMR_5D,2579354.237,1247474.095,512.583,-5.656986367818327,5.779687477318354,0.6430129999999394
cda_knowledge_base/measurements/coordinates_geometry_layout/source_files/Coordinates_NMR_Taupe_characborehole.xlsx,Tabelle1,11,NMR,NMR_4E,2579354.237,1247474.095,512.583,-5.656986367818327,5.779687477318354,0.6430129999999394
cda_knowledge_base/measurements/coordinates_geometry_layout/source_files/Coordinates_NMR_Taupe_characborehole.xlsx,Tabelle1,12,NMR,NMR_4G,2579354.089,1247474.111,513.32,-5.777165790946315,5.867533400693937,1.3800130000000195
cda_knowledge_base/measurements/coordinates_geometry_layout/source_files/Coordinates_NMR_Taupe_characborehole.xlsx,Tabelle1,13,NMR,NMR_4H,2579354.169,1247474.241,513.778,-5.642890090767658,5.940128416399899,1.8380129999999895
cda_knowledge_base/measurements/coordinates_geometry_layout/source_files/Coordinates_NMR_Taupe_characborehole.xlsx,Tabelle1,14,NMR,NMR_4I,2579354.271,1247474.453,514.05,-5.448567067109508,6.072742753658256,2.110012999999924
cda_knowledge_base/measurements/coordinates_geometry_layout/source_files/Coordinates_NMR_Taupe_characborehole.xlsx,Tabelle1,15,NMR,NMR_4J,2579354.621,1247474.584,514.296,-5.079952808463071,6.011224236435661,2.3560130000000186
cda_knowledge_base/measurements/coordinates_geometry_layout/source_files/Coordinates_NMR_Taupe_characborehole.xlsx,Tabelle1,16,NMR,NMR_4K,2579354.8,1247474.834,514.328,-4.799945341345843,6.1382550133468,2.388012999999944
cda_knowledge_base/measurements/coordinates_geometry_layout/source_files/Coordinates_NMR_Taupe_characborehole.xlsx,Tabelle1,17,NMR,NMR_4L,2579355.086,1247474.995,514.299,-4.471761765525789,6.134713731277728,2.3590129999999476
cda_knowledge_base/measurements/coordinates_geometry_layout/source_files/Coordinates_NMR_Taupe_characborehole.xlsx,Tabelle1,18,NMR,NMR_4M,2579355.295,1247475.236,514.241,-4.170271548222123,6.238952153489542,2.301012999999955
cda_knowledge_base/measurements/coordinates_geometry_layout/source_files/Coordinates_NMR_Taupe_characborehole.xlsx,Tabelle1,19,NMR,NMR_S,2579355.463,1247475.311,512.28,-3.9872776195275534,6.219920021513552,0.34001299999994217
cda_knowledge_base/measurements/coordinates_geometry_layout/source_files/Coordinates_NMR_Taupe_characborehole.xlsx,Tabelle1,20,NMR,NMR_4T,2579354.324,1247474.379,512.259,-5.439659818933414,5.98215765052598,0.319012999999984
cda_knowledge_base/measurements/coordinates_geometry_layout/source_files/Coordinates_NMR_Taupe_characborehole.xlsx,Tabelle1,21,NMR,NMR_4F,2579354.026,1247474.237,512.938,-5.768737657981749,6.008153337230222,0.9980129999999576
cda_knowledge_base/measurements/coordinates_geometry_layout/source_files/Coordinates_NMR_Taupe_characborehole.xlsx,Tabelle1,23,Charac. Bohrungen,BCD-A32 Anfang,2579351.32,1247479.06,512.843134,-5.7011847786196075,11.537999771414459,0.9031469999999331
cda_knowledge_base/measurements/coordinates_geometry_layout/source_files/Coordinates_NMR_Taupe_characborehole.xlsx,Tabelle1,24,Charac. Bohrungen,BCD-A32 Ende,2579348.11,1247476.96,511.727815,-9.531107671293903,11.324012331845177,-0.21217200000000958
cda_knowledge_base/measurements/coordinates_geometry_layout/source_files/Coordinates_NMR_Taupe_characborehole.xlsx,Tabelle1,25,Charac. Bohrungen,BCD-A33 Anfang,2579352.55,1247479.78,512.181899,-4.275974282809706,11.546662385729572,0.24191200000001345
cda_knowledge_base/measurements/coordinates_geometry_layout/source_files/Coordinates_NMR_Taupe_characborehole.xlsx,Tabelle1,26,Charac. Bohrungen,BCD-A33 Ende,2579353.66,1247480.52,508.40787,-2.9446935795439906,11.632637314563894,-3.532117000000028
cda_knowledge_base/measurements/coordinates_geometry_layout/source_files/Coordinates_NMR_Taupe_characborehole.xlsx,Tabelle1,27,Charac. Bohrungen,BCD-A34 Anfang,2579362.92,1247485.04,511.951091,7.334764035991739,10.917968832231768,0.0111039999999889
cda_knowledge_base/measurements/coordinates_geometry_layout/source_files/Coordinates_NMR_Taupe_characborehole.xlsx,Tabelle1,28,Charac. Bohrungen,BCD-A34 Ende,2579361.84,1247484.41,508.152901,6.0844570931966855,10.912263761324159,-3.787086000000045
cda_knowledge_base/measurements/coordinates_geometry_layout/source_files/Coordinates_NMR_Taupe_characborehole.xlsx,Tabelle1,29,Charac. Bohrungen,BCD-A35 Anfang,2579364.24,1247485.77,512.643444,8.842919988050536,10.890298935786646,0.7034570000000144
cda_knowledge_base/measurements/coordinates_geometry_layout/source_files/Coordinates_NMR_Taupe_characborehole.xlsx,Tabelle1,30,Charac. Bohrungen,BCD-A35 Ende,2579367.45,1247487.85,511.494324,12.662844391655518,11.086964995019798,-0.44566300000002457
cda_knowledge_base/measurements/coordinates_geometry_layout/source_files/Coordinates_NMR_Taupe_characborehole.xlsx,Tabelle1,32,Taupe,BCD-A3 Anfang,2579353.402,1247475.254,513.259,-5.800741555529807,7.200898385318622,1.319012999999984
cda_knowledge_base/measurements/coordinates_geometry_layout/source_files/Coordinates_NMR_Taupe_characborehole.xlsx,Tabelle1,33,Taupe,BCD-A3 Ende,2579349.56409147,1247473.03818279,512.477583189073,-10.23237642599781,7.2005120769531805,0.5375961890729855
cda_knowledge_base/measurements/coordinates_geometry_layout/source_files/Coordinates_NMR_Taupe_characborehole.xlsx,Tabelle1,34,Taupe,BCD-A4 Anfang,2579354.398,1247475.829,512.111,-4.650680254903337,7.200963314152476,0.17101299999995945
