metric,finite_count,min,p01,p05,p10,p50,p90,p95,p99,max,mean,std,area_weighted_mean
k_xx_m2,10239,3.929985372731887e-21,2.957946903220303e-20,3.376795545687111e-20,3.936099110131424e-20,8.161487189967471e-20,1.4660576983484634e-19,1.5669083728168507e-19,2.0741268512229438e-19,5.67189952564335e-14,6.545004608388133e-18,5.649436964902612e-16,1.8188798875696492e-18
k_xy_m2,10239,-2.0414768424416272e-14,-7.465368375998728e-20,-5.639745808033612e-20,-5.2767557452847865e-20,-2.9375497613936855e-20,-1.4167132451058268e-20,-1.2154040946975951e-20,-1.0646486378672637e-20,-1.4145127383328332e-21,-2.3557320226300273e-18,2.03339193237458e-16,-6.546662459143419e-19
k_yx_m2,10239,-2.0414768424416272e-14,-7.465368375998728e-20,-5.639745808033612e-20,-5.2767557452847865e-20,-2.9375497613936855e-20,-1.4167132451058268e-20,-1.2154040946975951e-20,-1.0646486378672637e-20,-1.4145127383328332e-21,-2.3557320226300273e-18,2.03339193237458e-16,-6.546662459143419e-19
k_yy_m2,10239,3.0107792742185257e-21,2.2660962791990855e-20,2.5869780871883658e-20,3.0154630356335834e-20,6.252551637685307e-20,1.1231533235778283e-19,1.2004154738614335e-19,1.5889978062236934e-19,4.34526745461806e-14,5.014157141989978e-18,4.328058786923433e-16,1.3934519720567992e-18
k_eigen_min_m2,10239,1.9830756134144037e-21,1.4925837664055396e-20,1.7039353236787076e-20,1.9861606130757165e-20,4.118296807900794e-20,7.397745776932261e-20,7.906639561937955e-20,1.0466070449847536e-19,2.862047708646117e-14,3.3026176429651767e-18,2.8507130719502995e-16,9.178091027504141e-19
k_eigen_max_m2,10239,4.957689033536009e-21,3.731459416013849e-20,4.259838309196769e-20,4.96540153268929e-20,1.0295742019751984e-19,1.8494364442330657e-19,1.9766598904844885e-19,2.6165176124618835e-19,7.155119271615293e-14,8.256544107412936e-18,7.126782679875747e-16,2.294522756876035e-18
k_eigen_ratio,10239,2.499999999999998,2.4999999999999987,2.499999999999999,2.499999999999999,2.4999999999999996,2.5000000000000004,2.5000000000000004,2.500000000000001,2.5000000000000013,2.5,5.613148753473337e-16,2.5
log10_k_eigen_min,10239,-20.70266072610606,-19.82606128653641,-19.768546893809017,-19.701985675246654,-19.385282356749467,-19.13090059732117,-19.10200806067943,-18.980216435095546,-13.543323131083211,-19.39458326863323,0.2482263845017485,-19.440238132610958
log10_k_eigen_max,10239,-20.304720717434023,-19.428121277864374,-19.37060688513698,-19.304045666574616,-18.98734234807743,-18.73296058864913,-18.704068052007393,-18.58227642642351,-13.145383122411173,-18.996643259961193,0.2482263845017485,-19.04229812393892
k_mag_rd,10239,1.1584268887532223e-20,2.3619524584124378e-20,2.703857478056863e-20,3.144411828383288e-20,6.510311241242571e-20,1.1678705931121582e-19,1.2446525219422006e-19,1.5951904363918428e-19,2.841854729087051e-19,7.117289740278335e-20,3.3739782123808036e-20,6.657648715177157e-20
k_anisotropy_ratio_rd,10239,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,0.0,2.5000000000000004
k_theta_deg_rd,10239,144.0,144.0,144.0,144.0,144.0,144.0,144.0,144.0,144.0,144.0,0.0,144.0
n_rd,10239,0.105,0.105,0.105,0.105,0.105,0.105,0.105,0.105,0.105,0.105,0.0,0.105
k_local_basis_applied_log10_increment_rd,10239,-0.03472002265049577,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00885024756522411,-3.509789795622974e-05,0.0008473752429909038,1.8357257520580729e-06
k_local_basis_weight_sum_rd,10239,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0030517101214928137,0.05416353768794856,0.0033941198546953307
k_local_basis_nearest_anchor_distance_m_rd,10239,0.0,0.048594332724230305,0.1655942081433988,0.29262534278178326,1.3341074008425977,2.9594760349655775,3.7666646341910783,5.358866900478678,7.433553778706038,1.546815618294933,1.150711385319714,2.8530032512285812
